lot,area_m2,area_sotix,perimeter_m,vertices,width_m,height_m,centroid_lon,centroid_lat
1,3996.81,39.97,268.04,4,67.02,92.82,71.160642,40.827024
2,3007.12,30.07,226.08,5,58.26,75.61,71.161133,40.826888
3,3006.55,30.07,241.28,6,88.52,54.51,71.161907,40.826845
4,3004.58,30.05,262.12,8,107.70,50.51,71.167039,40.825723
5,2598.90,25.99,205.66,6,59.69,61.75,71.167834,40.825561
6,4499.99,45.00,270.52,5,72.16,83.01,71.168411,40.825429
7,2015.09,20.15,208.71,4,37.94,83.74,71.169015,40.825305
8,2498.81,24.99,224.43,4,48.32,88.75,71.169337,40.825233
9,2503.88,25.04,223.08,4,50.27,91.20,71.169680,40.825119
10,3497.12,34.97,246.64,8,72.07,87.55,71.170256,40.824994
11,2499.88,25.00,197.34,5,56.89,70.76,71.170734,40.824725
12,2504.33,25.04,201.88,10,60.16,68.81,71.171268,40.824695
13,2003.43,20.03,181.40,8,53.78,61.83,71.171714,40.824533
14,2699.46,26.99,212.51,4,57.77,69.68,71.172229,40.824283
15,2704.73,27.05,220.06,4,42.01,77.51,71.172741,40.824181
16,2505.12,25.05,225.00,4,33.49,85.76,71.173160,40.824118
17,3004.44,30.04,251.61,6,35.45,98.75,71.173475,40.824095
18,3503.96,35.04,266.56,10,38.92,102.75,71.173998,40.824337
19,2997.94,29.98,248.52,4,35.31,97.53,71.174360,40.824145
20,3017.56,30.18,236.73,4,40.56,87.55,71.174783,40.824219
21,2108.15,21.08,202.29,4,34.83,79.11,71.175182,40.824298
22,2500.32,25.00,211.49,5,43.15,80.15,71.175618,40.824347
23,2503.98,25.04,207.51,6,47.45,75.88,71.176069,40.824527
24,2005.39,20.05,186.12,6,48.55,67.01,71.176478,40.824632
25,2001.35,20.01,182.99,4,60.08,56.63,71.176838,40.824710
26,3005.58,30.06,226.76,6,80.80,52.09,71.179677,40.825101
27,3003.33,30.03,220.46,6,66.82,66.57,71.180475,40.825204
28,2999.39,29.99,226.66,4,63.66,75.84,71.180934,40.825284
29,3497.53,34.98,253.08,4,66.99,88.24,71.181427,40.825365
30,5202.32,52.02,295.14,4,86.17,101.48,71.182002,40.825485
31,2803.20,28.03,235.01,5,63.77,89.95,71.182586,40.825721
32,2602.89,26.03,225.38,4,60.81,86.92,71.182948,40.825759
33,2500.49,25.00,218.22,8,57.33,84.53,71.183351,40.825891
34,2498.78,24.99,216.66,4,57.69,83.02,71.183661,40.825997
35,3097.57,30.98,231.24,4,66.86,83.22,71.184077,40.826125
36,2302.52,23.03,206.20,4,56.00,77.97,71.184490,40.826250
37,2007.25,20.07,194.44,4,49.80,75.40,71.184832,40.826361
38,2004.55,20.05,190.22,4,49.60,71.53,71.185169,40.826467
39,2997.65,29.98,219.91,6,68.71,71.62,71.185718,40.826613
40,2504.81,25.05,202.43,7,63.81,65.38,71.186185,40.826733
41,2598.00,25.98,196.50,8,58.30,67.00,71.186693,40.826942
42,2900.64,29.01,231.53,6,85.11,58.34,71.187249,40.826932
43,2498.46,24.98,211.28,4,80.15,56.93,71.188188,40.827180
44,2002.72,20.03,180.37,6,60.16,59.40,71.188915,40.827417
45,2106.75,21.07,184.25,4,59.61,62.82,71.189341,40.827579
46,2799.51,28.00,211.88,6,70.80,73.73,71.189881,40.827894
47,3899.24,38.99,249.93,8,87.06,87.39,71.190905,40.828260
48,3497.23,34.97,236.90,4,80.62,83.88,71.190399,40.828068
49,3201.98,32.02,248.22,5,94.73,79.48,71.192270,40.829115
50,2800.19,28.00,219.35,4,74.85,78.77,71.191471,40.828660
51,3103.32,31.03,235.39,5,84.13,81.22,71.191870,40.828811
52,3010.37,30.10,245.82,5,89.89,79.07,71.192491,40.829370
53,2402.48,24.02,226.16,4,82.49,72.21,71.192670,40.829648
54,2201.67,22.02,213.16,4,78.19,67.58,71.192815,40.829881
55,2804.11,28.04,223.22,4,76.36,74.47,71.192979,40.830160
56,2802.61,28.03,217.54,4,74.68,67.07,71.193163,40.830506
57,3098.94,30.99,224.12,8,74.74,64.63,71.193406,40.830817
58,3003.72,30.04,222.72,6,76.69,63.32,71.193544,40.831353
59,2704.31,27.04,214.37,4,75.06,59.63,71.193686,40.831693
60,2801.75,28.02,219.18,4,73.58,62.15,71.193809,40.832049
61,2806.17,28.06,224.26,5,76.49,62.56,71.193986,40.832388
62,2998.69,29.99,234.92,4,86.36,63.74,71.194048,40.832751
